Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance
64357	3608474	6329	309	1	3.0
2588929	3332613	20	1	1	4.0
1031546	3677292	110	39	43	3.0
2688858	2291689	576	92	1	2.0
4088293	1854870	231	81	2	3.0
484672	1820055	1985	276	1	3.0
2508880	2618608	614	54	1	3.0
2386049	4701792	70	21	1	3.0
1983211	4360176	1225	136	1	3.0
2107524	2907392	96	4	1	3.0
1552745	4568516	1316	151	1	3.0
49869	2057549	95	8	5	3.0
962054	1974089	52	6	1	3.0
4692762	4375026	391	26	1	3.0
4413978	1658016	87	28	2	3.0
1351713	2353341	1748	38	1	3.0
3203581	4818588	58	165	12	3.0
873187	1407551	286	42	2	3.0
314689	4047165	205	104	2	3.0
1628647	3665679	181	200	2	3.0
1266966	4812343	82	24	1	3.0
2358830	2731712	131	9	2	3.0
4681788	2686736	105	79	1	4.0
3102873	453180	15099	341	1	3.0
3246890	3666365	956	142	4	3.0
3646619	3734065	7	1	2	5.0
2503580	680604	194	25	4	2.0
659480	3962270	1649	518	1	3.0
1302311	4579196	0	25	1	inf
4381926	2790479	246	57	1	3.0
2775727	1151166	105	12	1	4.0
3958791	3843201	72	129	1	4.0
2712751	1741985	0	1	1	inf
3681482	3358659	189	98	9	3.0
1807500	4764839	32	11	1	4.0
2933546	2598561	158	297	1	3.0
2349357	4148881	53	32	2	4.0
3005188	2851384	320	10	2	2.0
3043	2836438	55	209	1	3.0
1923509	332781	24	5	1	4.0
3731678	2662082	17	2	1	3.0
1684694	2845326	548	46	4	3.0
1354205	1900183	25	155	21	3.0
3311607	3436114	62	2	4	2.0
1894287	4523067	194	29	22	2.0
2731550	1579536	73	25	6	3.0
807139	3474689	221	43	2	3.0
3047556	3091549	106	91	1	4.0
2344344	1549415	70	32	1	4.0
4577905	4720361	400	57	2	3.0
3482548	537491	8	2	11	3.0
2635670	683378	39	1605	2	3.0
943153	4467208	1411	77	1	3.0
3887557	731483	99	17	1	4.0
1582015	4437004	69	62	1	3.0
3808080	1709529	183	37	1	3.0
2542832	1553682	1	16	1	4.0
2902273	2923970	966	212	7	3.0
4187695	1907671	324	82	1	3.0
1422030	2716592	407	31	1	4.0
2609765	719891	79	3	6	3.0
3905749	2696284	188	54	2	2.0
2823666	61133	1079	31	1	3.0
3369681	2536620	130	53	1	3.0
2121745	1528082	52	12	3	4.0
690328	414712	122	35	5	3.0
1798508	3715287	4	2	1	4.0
569972	2759297	676	67	2	3.0
2662654	3254368	1542	224	1	3.0
2977499	4625680	2	2	2	4.0
2141034	1470892	1	1	1	5.0
4291229	1434281	118	28	1	3.0
3095112	1201309	248	186	1	3.0
4082506	3094956	0	2	25	inf
2525993	288306	88	26	1	4.0
960415	3579921	272	33	1	3.0
4491388	2854302	143	1	1	3.0
1319809	450456	64	485	2	3.0
2261555	1716388	2149	48	1	3.0
1348003	1502175	29	15	1	4.0
3216859	4441636	1073	128	1	3.0
3466784	2380619	205	11	1	3.0
1164238	3008472	2363	179	1	3.0
4707106	3093199	7	48	1	4.0
4187141	1854665	291	24	2	3.0
4712099	2132661	1106	89	1	2.0
455376	4297681	191	40	1	4.0
615680	2636671	150	11	2	3.0
71384	824174	87	6	3	3.0
3183734	2837558	1053	123	5	3.0
134515	449551	47	53	25	3.0
4562361	4578609	202	19	6	2.0
1107648	1996733	1336	127	3	3.0
4287509	4151011	35	3	1	4.0
4054592	1274531	16	9	1	5.0
2110803	1459103	368	26	1	3.0
2152069	278956	236	57	4	3.0
3229155	1798336	59	23	10	3.0
3943316	4851979	255	64	1	4.0
1348342	2624704	1456	241	1	4.0
3136484	4775516	55	296	1	3.0
2350571	3929231	162	36	1	3.0
63018	753156	5	3	2	3.0
3768139	2209782	67	93	2	3.0
2124635	1441542	176	60	3	3.0
305679	4684304	25	1	10	3.0
2163657	4129632	236	12	14	4.0
831215	1554892	99	37	1	4.0
1549768	646892	9	129	1	5.0
416856	3615672	719	50	4	3.0
1876070	4038592	97	8	1	4.0
738642	628597	39	3	1	4.0
646593	2263758	80	17	1	3.0
4605125	4072661	583	107	68	2.0
1327558	187139	356	79	1	3.0
943943	3372800	88	7	8	3.0
207338	383706	122	29	1	3.0
3889275	4543806	305	7	1	4.0
344643	482562	75	11	5	3.0
4369710	3398433	49	5	7	3.0
1382209	4814835	66	12	2	4.0
4824021	1401382	63	19	1	3.0
3783758	3700142	38	3	1	4.0
3048526	1279155	96	20	1	4.0
4098353	2400815	280	48	403	2.0
749007	358114	112	323	1	3.0
3534145	2206461	23	12	2	4.0
2063668	2936506	368	5	4	3.0
2049447	2615228	115	15	2	3.0
1031168	2083064	178	25	2	3.0
903467	2532302	194	53	1	3.0
3069434	1846631	4	1	1	4.0
3508908	3430188	43	18	1	5.0
3666373	497830	11	4	2	4.0
1039932	1158219	813	147	1	3.0
2346464	3075718	1	1	1	inf
97885	825166	103	142	1	3.0
4626804	3614177	173	17	3	3.0
2393693	644647	190	181	1	3.0
4503106	726015	509	19	62	2.0
3509878	3271564	56	9	1	4.0
3660943	4738661	555	12	1	3.0
154	1525586	23	3	1	inf
421093	591778	205	64	8	3.0
2334654	4244310	172	17	1	3.0
3466817	2264315	100	48	5	3.0
2115313	2918527	343	26	1	3.0
513653	4340105	99	37	1	3.0
210258	4700259	214	61	1	3.0
3592993	3368830	452	85	3	3.0
3453201	3709763	106	16	1	4.0
949099	4695661	18	16	1	3.0
3327738	4251460	121	39	7	3.0
316542	4318795	91	33	2	3.0
828084	4831760	749	85	1	3.0
409422	2511327	184	17	1	4.0
349900	3182750	429	114	55	3.0
2026109	2970403	375	273	1	3.0
1437646	1107462	1753	253	1	3.0
2240002	633082	27	6	1	3.0
1709869	1056830	325	180	17	3.0
1395822	1961219	183	14	7	3.0
3625953	3591751	14	5	2	4.0
4828511	249044	2641	113	1	3.0
4487359	203130	60	8	1	3.0
1191020	4402850	112	263	2	3.0
4230144	2788959	4435	216	1	3.0
611781	1203574	1404	110	2	2.0
1039412	3126685	361	56	6	3.0
1832611	1990604	98	8	3	3.0
1237063	4376730	670	64	1	3.0
1585178	1270224	6	1	2	4.0
4522918	1541257	33	3	99	3.0
4360442	4514140	1235	66	4	3.0
3655780	3026260	1301	342	1	3.0
470458	3940702	126	15	1	3.0
4696670	4634876	23	44	1	3.0
3935241	4378769	273	12	1	3.0
2613814	3853831	1818	242	4	2.0
4680108	7266	1965	49	1	3.0
4350276	4713114	116	8	10	3.0
2933830	1707919	83	56	1	3.0
184558	2851186	18	40	2	4.0
439645	479074	369	37	2	3.0
4563115	4629898	55	6	3	4.0
1170741	2966993	1381	136	1	3.0
3894951	4839498	360	16	1	3.0
3784443	854284	974	36	1	3.0
604776	1079208	78	5	1	4.0
3319826	4637720	305	170	1	3.0
4787485	4625853	241	31	2	2.0
1240749	3251628	2	2	1	4.0
3384287	2989446	506	17	4	3.0
292847	778858	138	10	1	4.0
4276718	3995142	124	29	2	3.0
3724199	1109372	34	5	1	4.0
1969944	1654841	354	39	1	3.0
3423962	2642675	17	3	1	3.0
1743985	198038	154	35	2	3.0
3853410	1585352	780	33	1	3.0
2601210	2417254	251	77	1	3.0
3229912	4634882	80	125	1	3.0
1332516	4641258	69	19	1	4.0
4172823	1738332	48	4	1	4.0
4154740	2106509	1352	68	1	3.0
896542	4654023	874	45	7	3.0
4466947	174221	0	11	1	inf
3479501	3207833	203	69	1	3.0
1006418	432041	1329	56	1	3.0
500944	1090857	38	12	5	3.0
4792279	1681922	73	12	1	4.0
1601507	1894980	6007	129	83	2.0
1310800	3827380	6102	200	1	3.0
1914212	3484420	574	133	1	2.0
3970537	1659732	70	9	7	3.0
2018444	2423522	98	42	1	3.0
1533546	160324	22096	703	2	2.0
4597927	2322224	54	6	1	4.0
1843056	3330244	295	37	1	3.0
4298480	334927	112	40	1	3.0
2703564	143666	34	25	2	3.0
3651891	3970645	656	199	2	3.0
2169730	1572385	66	6	9	3.0
4025713	2484976	47	17	1	3.0
2625086	3104620	349	18	1	4.0
4497774	1435821	2	2	2	4.0
1529061	3954892	88	12	1	4.0
2351892	12858	16	1	1	5.0
3750964	379935	29	93	1	4.0
2748914	1054132	755	57	2	3.0
3770661	3501010	248	106	1	3.0
2961801	742795	101966	1483	3	2.0
3304218	3242685	447	127	1	3.0
4343040	2402389	0	2	2	inf
1235227	1748964	19	15	4	3.0
2245787	2844165	48	5	1	3.0
2379142	4843624	197	425	39	3.0
1261721	3537872	64	12	3	4.0
4099006	817781	184	17	1	4.0
275674	4569990	10	7	4	4.0
4618657	2176058	53	6	1	4.0
2795117	2683272	113	27	1	3.0
2222049	4802896	272	68	2	3.0
3396499	2918227	372	125	1	3.0
688253	4050456	624	57	1	4.0
782368	4669440	1146	586	2	3.0
1167304	126966	40	4	1	3.0
3666768	3109877	0	17	7	inf
4302148	665653	99	122	2	3.0
4448741	2415093	96	5	1	3.0
4108704	2909836	42	26	1	4.0
2980603	1808189	544	30	1	4.0
738156	1778136	72	51	5	3.0
