Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings
4736846	4132881	21	11	3	0	0	0.0	0.2727272727272727	0	0
4712533	4384785	156	56	17	0	11	0.07051282051282051	0.30357142857142855	5	3
3934208	4450081	100	81	62	0	0	0.0	0.7654320987654321	0	0
3233147	2040749	46	19	596	0	0	0.0	31.36842105263158	0	0
2670707	826408	86	11	87	0	30	0.3488372093023256	7.909090909090909	12	6
3877835	598094	827	594	144	0	0	0.0	0.24242424242424243	14	0
808563	1850543	130	32	89	0	0	0.0	2.78125	1	0
4397644	2469185	69	7	5	0	0	0.0	0.7142857142857143	1	0
2140259	426019	756	40	69	0	0	0.0	1.725	1	0
1765373	4190379	88	11	1	0	0	0.0	0.09090909090909091	1	0
3639287	2736361	9	2	146	0	0	0.0	73.0	0	0
3816638	4102065	95	9	19	0	0	0.0	2.111111111111111	0	0
684683	720928	173	40	1	0	0	0.0	0.025	1	0
3645350	777601	161	39	44	0	18	0.11180124223602485	1.1282051282051282	11	5
3530488	2572551	179	22	8	0	0	0.0	0.36363636363636365	2	0
1727015	3256504	49	430	1	0	0	0.0	0.002325581395348837	1	0
2093894	4550556	38	191	335	0	0	0.0	1.7539267015706805	2	0
2848876	2730668	115	46	563	0	0	0.0	12.23913043478261	10	0
36240	2703564	63	47	25	0	6	0.09523809523809523	0.5319148936170213	4	4
2161539	3246724	22	9	194	0	1	0.045454545454545456	21.555555555555557	1	0
3786809	289153	55	4	7	0	0	0.0	1.75	1	0
2026109	1017183	375	273	291	0	0	0.0	1.065934065934066	19	0
1807254	2810883	219	152	282	0	20	0.091324200913242	1.855263157894737	11	10
1698708	3483424	2	4	10	0	1	0.5	2.5	1	3
2088129	2439486	70	95	8	0	0	0.0	0.08421052631578947	1	0
4635332	4210964	2326	90	1	0	0	0.0	0.011111111111111112	1	0
3373807	2767849	42	5	381	0	2	0.047619047619047616	76.2	1	0
1710654	2893334	616	35	889	0	81	0.1314935064935065	25.4	17	17
4799660	133821	455	33	1294	0	1	0.002197802197802198	39.21212121212121	4	0
4207650	4538607	59	39	3	0	0	0.0	0.07692307692307693	3	0
418191	4039119	323	64	2	0	0	0.0	0.03125	2	0
1742039	766318	191	214	831	0	24	0.1256544502617801	3.883177570093458	38	34
3448205	3812415	97	44	52	0	23	0.23711340206185566	1.1818181818181819	20	14
1896126	1342163	77	43	123	0	0	0.0	2.86046511627907	9	0
3360059	4268239	68	69	1117	0	6	0.08823529411764706	16.18840579710145	12	0
2551721	19246	63	130	66	0	0	0.0	0.5076923076923077	1	0
1879594	1223113	1761	277	22	0	0	0.0	0.07942238267148015	1	0
3726850	3610333	110	8	5	0	0	0.0	0.625	1	0
4214036	2391752	45	3	1458	0	3	0.06666666666666667	486.0	7	1
3522015	802835	919	88	42	0	0	0.0	0.4772727272727273	8	0
1126953	3476245	77	56	30	0	0	0.0	0.5357142857142857	1	0
1595863	1107406	8	99	3	0	0	0.0	0.030303030303030304	1	0
3396550	3491292	221	77	69	0	9	0.04072398190045249	0.8961038961038961	3	2
3015800	3195766	52	26	30	0	0	0.0	1.1538461538461537	1	0
970752	17824	825	215	93	0	0	0.0	0.4325581395348837	6	0
1085957	929698	59	33	67	0	3	0.05084745762711865	2.0303030303030303	7	2
3258022	3590058	28	3	63	0	0	0.0	21.0	1	0
3256698	673081	14	7	269	0	0	0.0	38.42857142857143	1	0
2186481	3797545	11	6	9	0	0	0.0	1.5	3	0
3353352	2015545	15	25	46	0	10	0.6666666666666666	1.84	8	17
2876344	868783	535	49	173	0	0	0.0	3.5306122448979593	21	0
3186537	174428	104	14	5	0	0	0.0	0.35714285714285715	1	0
3182046	3388882	187	30	361	0	0	0.0	12.033333333333333	7	0
2843739	3802564	451	69	58	0	0	0.0	0.8405797101449275	9	0
2463912	1164114	114	186	58	0	20	0.17543859649122806	0.3118279569892473	11	21
1088985	808206	59	16	4	0	0	0.0	0.25	1	0
809037	1207548	160	32	59	0	0	0.0	1.84375	2	0
990434	687304	60	13	86	0	0	0.0	6.615384615384615	3	0
2542832	1656917	1	16	11	0	0	0.0	0.6875	0	0
