Source	Sink	Source_Followings	Source_Followers	Sink_Followers
4156257	4504242	113	63	274
2960143	1466981	192	8	5
1719606	527267	278	101	327
531474	439041	89	57	79
786311	1663869	18	32	117
1158858	2136428	146	34	5
2670101	4037770	209	37	3
1222505	3020366	186	17	1
401947	4571446	7890	367	26
842427	1337853	44	6	1795
2572751	4720781	444	42	1
3252058	2915647	1860	26	8
3183791	1258352	347	45	4
3338096	888639	12	34	22
3414168	4482172	296	655	15
456154	542927	581	48	36
402837	4413986	180	94	1
4234145	2383130	80	7	1
4420088	2846643	94	152	10
749690	950671	60	3	1
740261	4733189	103	56	2
2352713	3872071	54	16	4
666816	3323691	83	14	5
619847	3983431	60	16	26
2297633	3741397	161	14	275
155547	3122640	350	34	57
4384375	4072107	4747	129	447
1621775	1632970	45	10	68
1963890	2448524	177	18	7
2153178	2956553	29	28	610
1372449	84657	321	75	123
2636315	976040	254	46	3
3410072	3600103	321	17	8
2376083	1804095	2	1	1
820476	3214893	822	113	1087
713325	64448	34	31	309
163870	2711416	60	6	1
4524940	1143717	57	9	19
3703380	3835546	159	36	36
3341107	3413786	34	4	6
4193047	4341925	1266	89	156
4735323	644886	114	52	287
775016	4693295	326	95	60
3740149	573872	60	62	60
2206657	1870446	73	69	38
4129372	2567324	395	61	74
2200544	2027108	241	32	1172
4799011	3771670	6	38	480
2373691	4803152	119	6	1
667330	2817001	98	36	6
3525229	1250764	381	189	7
2237068	1702245	2206	211	469
268451	4497774	292	61	2
849824	4852291	66	15	121
732718	2572933	308	28	452
4791406	2044318	206	84	134
1343126	1620165	153	40	65
4313884	130898	864	68	49
616984	2919442	37	3	1
3469158	1436562	52	6	694
4215761	984524	77	12	28
2587544	604390	1055	111	44
4853519	2853969	522	160	1051
663087	3325882	3410	551	345
3941959	2092359	14	2	421
3300806	4681321	517	46	22
3381720	4084861	70	60	128
1747484	2431075	332	148	39
2202417	540049	161	163	113
3522421	4050850	145	41	51
3142503	2398894	135	7	2
2922412	4309860	3629	464	24
4705162	2428611	2	6	57
1887772	1739611	17	21	44
2733969	2915097	372	143	14
4172298	581588	338	92	18
2911269	2631532	20607	740	73
805251	2197877	417	34	11
3188415	3377733	1078	189	16
1919500	1904406	159	19	18
1747240	377146	89	10	7
1459296	2365339	129	13	2
2085287	1055319	1199	61	347
1275582	2199988	435	31	5
2021878	1012160	8	5	59
2539336	2828539	158	59	96
2763877	2075015	436	77	2664
1289166	1907049	90	4	1
632811	1354317	202	37	18
4105945	2932519	47	12	530
1821864	201301	264	39	106
4011312	2535295	26	7	21
569240	4646905	54	64	3
820476	3832364	822	113	1353
2360093	2538651	84	19	1
1105493	2862019	4	137	903
4249273	2873388	3063	225	70
3258271	2320172	240	81	2
547939	3509903	95	12	1530
91412	3588975	193	91	14
2400794	885508	38	5	1
4107348	3918618	59	41	299
25871	1233542	1848	214	380
4510122	4209215	410	76	215
2999674	4203573	47	4	1
1518991	2554450	139	13	91
4716655	2749118	103	52	54
4618437	4717522	743	372	913
218698	2672578	99	43	736
4581275	2852681	28	8	107
2439135	1115008	138	25	1
2615366	2340628	203	5	249
1016317	2114344	572	83	3
2249236	3957233	206	13	1
660674	1942087	111	458	149
198776	4652564	169	32	1
3839749	1362214	366	266	148
2059930	1169783	12	5	246
1836086	1600900	100	21	282
1617409	4805288	81	8	53
2613814	1336450	1818	242	14
3243039	893927	544	29	109
4628214	1497278	115	46	1869
1213877	97028	44	9	619
2615574	915448	133	1	2
1358075	4696176	228	37	521
974734	3963322	6	3	1
4796054	539723	4	19	53
4292786	3148412	457	73	57
2206106	3557828	369	21	1
873433	3186783	195	9	1
3559275	2538609	39	4	377
1455981	4576296	59	15	19
4721293	776764	158	27	7
69306	3371843	254	187	19
3108039	1192547	57	32	69
4407691	1366981	9	234	13
4352292	2233192	139	22	11
