Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings	Source_friends_num	friends_cycle_num	SourceFollowersToSink
540762	2757277	143	142	107	1	1	25	0.174825175	0.7535211270000001	8	14	142	235	13
2757277	4165152	222	107	3	1	1	0	0.0	0.028037383	2	0	107	3	1
4165152	2319758	11	3	2	1	1	0	0.0	0.666666667	0	0	0	0	0
1025192	2390187	13	50	116	1	1	5	0.384615385	2.32	8	4	11	43	27
2390187	2868783	26	116	1	1	1	0	0.0	0.00862069	0	0	34	1	0
1889606	3216499	191	25	22	1	1	0	0.0	0.88	9	0	25	20	4
1885745	4522161	143	35	8	1	1	0	0.0	0.228571429	0	0	25	6	1
2655966	4613111	2804	81	314	1	1	0	0.0	3.87654321	34	0	81	311	33
3655780	3755773	1301	342	54	1	1	0	0.0	0.15789473699999998	18	0	342	54	20
3984151	383065	248	27	30	1	1	0	0.0	1.111111111	6	0	26	30	8
2941221	4717522	50	4	913	1	1	6	0.12	228.25	4	0	4	389	1
4717522	4344646	395	913	362	1	1	47	0.118987342	0.39649507100000003	23	52	812	1054	121
4344646	3193364	497	362	31	1	1	0	0.0	0.08563535900000001	2	0	348	26	11
4096959	1659856	95	23	319	1	1	0	0.0	13.86956522	3	0	8	21	0
3146367	639709	277	33	15	1	1	0	0.0	0.454545455	1	0	17	4	1
3063573	3718467	996	93	11	1	1	0	0.0	0.11827957	3	0	80	9	2
1139266	4270121	61	2	23	1	1	3	0.049180327999999995	11.5	1	0	2	11	0
4270121	3109326	40	23	126	1	1	2	0.05	5.47826087	0	0	12	42	2
3109326	4357561	25	126	9	1	1	0	0.0	0.071428571	1	0	8	2	2
3866129	2758901	98	6	6	1	1	0	0.0	1.0	2	0	5	6	2
2411667	3794678	229	23	1	1	1	0	0.0	0.043478261	0	0	20	1	0
112408	3454378	78	25	3	1	1	0	0.0	0.12	2	0	24	3	2
4316209	2862019	58	215	903	1	1	14	0.24137931	4.2	37	23	214	1017	181
2862019	2026247	57	903	32	1	1	11	0.19298245600000002	0.035437431	3	28	844	865	23
1208991	209434	21	8	12	1	1	0	0.0	1.5	0	0	8	5	0
911192	4121231	6327	106	19	1	1	0	0.0	0.179245283	3	0	106	18	3
183476	1448017	11	6	7	1	1	0	0.0	1.166666667	1	0	6	5	2
1085321	141733	56	14	4	1	1	0	0.0	0.28571428600000004	0	0	12	4	0
3424598	3628231	341	30	26	1	1	0	0.0	0.8666666670000001	11	0	30	24	11
75239	3173958	27	11	2	1	1	0	0.0	0.181818182	0	0	11	8	0
3173958	3339982	142	2	4	1	1	0	0.0	2.0	0	0	1	2	0
2469359	3345871	263	59	1181	1	1	0	0.0	20.01694915	36	0	59	1166	33
3168320	99839	1904	309	10	1	1	0	0.0	0.03236246	2	0	309	10	2
1605523	3578500	244	23	3	1	1	0	0.0	0.130434783	1	0	21	3	1
857201	2951368	353	28	2	1	1	0	0.0	0.071428571	1	0	28	2	1
1395717	2210352	510	32	6	1	1	0	0.0	0.1875	2	0	28	4	3
2876797	1727464	64	61	267	1	1	12	0.1875	4.37704918	8	14	48	298	14
1727464	3885337	1073	267	79	1	1	0	0.0	0.29588015	10	0	265	79	11
606663	3284140	21	55	6	1	1	6	0.28571428600000004	0.109090909	1	2	3	6	5
3284140	4016190	43	6	2	1	1	0	0.0	0.333333333	0	0	2	1	0
1081925	3633019	55	14	746	1	1	6	0.109090909	53.28571429	5	5	14	731	4
3633019	3472061	32319	746	20	1	1	0	0.0	0.026809651	15	0	745	20	15
3311052	3770494	100	76	352	1	1	0	0.0	4.6315789469999995	17	0	76	329	34
1812703	742086	35	9	96	1	1	0	0.0	10.66666667	2	0	5	45	0
3792226	1455058	146	9	129	1	1	11	0.075342466	14.33333333	0	1	9	120	0
1455058	4680874	3856	129	1	1	1	0	0.0	0.007751938000000001	0	0	125	1	0
4117726	4713391	751	136	387	1	1	0	0.0	2.845588235	16	0	136	370	16
749588	2317782	57	3	788	1	1	10	0.175438596	262.6666667	4	1	3	616	1
2317782	98420	2668	788	339	1	1	17	0.006371814	0.43020304600000003	64	5	788	944	55
2385076	1191020	106	327	263	1	1	9	0.08490566	0.8042813459999999	6	8	160	268	45
1191020	712454	112	263	4	1	1	0	0.0	0.015209125	2	0	134	4	2
2362521	4782074	168	15	920	1	1	14	0.083333333	61.33333333	19	0	15	502	1
4782074	2024200	238	920	113	1	1	40	0.16806722699999999	0.12282608699999999	25	45	704	629	63
2024200	174081	237	113	6	1	1	0	0.0	0.053097345	1	0	101	5	2
2075583	3677432	242	17	1	1	1	0	0.0	0.058823529000000006	0	0	16	1	0
1442837	1583505	108	3	2	1	1	0	0.0	0.666666667	0	0	3	1	0
1330432	680719	1926	12	9	1	1	0	0.0	0.75	0	0	12	8	0
3057270	617640	30	3	5	1	1	0	0.0	1.6666666669999999	1	0	2	3	1
292977	581535	40	81	1283	1	1	15	0.375	15.83950617	7	54	74	1314	54
581535	4789627	8414	1283	172	1	1	0	0.0	0.134060795	80	0	1283	172	81
240699	613338	43	7	1805	1	1	0	0.0	257.8571429	2	0	5	90	4
2229844	3044239	310	45	11	1	1	0	0.0	0.24444444399999998	4	0	43	11	4
1851261	2989624	52	7	418	1	1	1	0.019230768999999998	59.71428571	6	0	6	295	2
2946219	20894	23	7	11	1	1	0	0.0	1.571428571	1	0	5	5	0
1163711	1064528	162	25	86	1	1	0	0.0	3.44	3	0	25	79	4
235772	2492020	44	16	400	1	1	16	0.363636364	25.0	16	4	16	364	7
2492020	3946090	58	400	65	1	1	27	0.465517241	0.1625	7	46	323	438	30
3946090	3566551	362	65	7	1	1	0	0.0	0.10769230800000001	0	0	65	7	0
3298299	1585258	4843	181	69	1	1	0	0.0	0.38121547	56	0	181	69	62
1894287	2962391	194	29	2532	1	1	7	0.036082473999999996	87.31034483	20	2	29	2333	17
2962391	328853	241	2532	77	1	1	0	0.0	0.030410742	4	0	2241	73	59
276069	846827	417	18	268	1	1	0	0.0	14.88888889	5	0	17	256	5
1054871	1585435	279	59	370	1	1	0	0.0	6.271186441	41	0	59	368	40
1368086	2633184	128	31	153	1	1	0	0.0	4.935483871000001	5	0	28	119	4
732723	1504506	202	28	551	1	1	36	0.178217822	19.67857143	26	12	28	547	16
1504506	1683324	1317	551	1	1	1	0	0.0	0.001814882	0	0	544	1	0
3637331	1439123	57	52	30	1	1	0	0.0	0.576923077	4	0	52	29	3
1465606	3381299	296	14	2	1	1	0	0.0	0.14285714300000002	0	0	14	2	0
1387888	241440	105	12	2	1	1	0	0.0	0.166666667	0	0	11	2	0
3292987	4811488	13	12	712	1	1	0	0.0	59.33333333	0	0	0	0	2
3628694	1570246	186	21	4	1	1	0	0.0	0.19047619	2	0	21	4	2
3471881	1084664	851	80	64	1	1	0	0.0	0.8	26	0	79	61	24
89251	570074	319	16	55	1	1	0	0.0	3.4375	3	0	15	51	3
730950	1407200	768	42	361	1	1	0	0.0	8.595238095	6	0	42	340	2
4594318	1388590	146	9	352	1	1	1	0.006849315	39.11111111	4	0	8	288	0
1388590	850017	72	352	1349	1	1	18	0.25	3.8323863639999995	33	32	229	798	179
850017	3264	213	1349	7	1	1	0	0.0	0.005189029	0	0	857	4	1
305679	185896	25	1	622	1	1	3	0.12	622.0	2	0	1	45	0
185896	4579076	117	622	6	1	1	0	0.0	0.009646301999999999	0	0	95	2	1
3662667	3938928	158	90	271	1	1	21	0.132911392	3.0111111110000004	20	15	89	357	31
4677576	4636630	1655	103	7	1	1	0	0.0	0.067961165	2	0	101	6	2
2570264	813393	205	9	1	1	1	0	0.0	0.111111111	0	0	9	1	0
631782	2794818	2	3	17	1	1	0	0.0	5.666666667	1	0	3	17	3
1603868	1367403	42	7	5	1	1	0	0.0	0.7142857140000001	3	0	5	4	3
473016	4382293	73	75	124	1	1	0	0.0	1.6533333330000002	0	0	75	121	4
4382293	4295907	105	124	87	1	1	0	0.0	0.701612903	3	0	34	36	19
1506917	746711	57	18	757	1	1	9	0.15789473699999998	42.05555556	12	8	18	736	12
746711	3760120	389	757	76	1	1	43	0.110539846	0.100396301	21	53	757	832	38
3760120	1910862	394	76	1	1	1	0	0.0	0.013157895	0	0	76	1	0
3208841	4195607	57	8	12	1	1	0	0.0	1.5	3	0	7	10	3
1771414	2371893	12	4	60	1	1	6	0.5	15.0	6	4	4	57	4
2371893	2762557	149	60	176	1	1	0	0.0	2.933333333	3	0	60	89	1
4592892	3854704	219	12	86	1	1	0	0.0	7.166666667	4	0	12	71	1
1072715	3309523	57	15	10	1	1	12	0.21052631600000002	0.666666667	8	9	15	25	9
3309523	1970076	14	10	64	1	1	9	0.642857143	6.4	9	9	10	53	9
1970076	2432874	64	64	18	1	1	3	0.046875	0.28125	3	1	63	58	2
2432874	1199298	17	18	894	1	1	3	0.176470588	49.66666667	4	0	18	698	10
3512824	3757508	83	5	4	1	1	0	0.0	0.8	0	0	5	2	0
2676022	2234620	123	10	149	1	1	0	0.0	14.9	2	0	10	141	3
3101239	2362804	1614	125	140	1	1	0	0.0	1.12	14	0	125	140	14
440727	1253034	23	2	1	1	1	0	0.0	0.5	0	0	2	1	0
3959630	3246301	79	3	2	1	1	0	0.0	0.666666667	1	0	3	2	1
45028	3352557	2021	243	45	1	1	0	0.0	0.185185185	13	0	243	45	15
1017643	3043	46	12	209	1	1	10	0.21739130399999998	17.41666667	10	5	12	221	7
3043	98420	55	209	339	1	1	7	0.127272727	1.622009569	20	8	209	527	105
98420	2621585	56	339	50	1	1	14	0.25	0.147492625	6	21	326	382	30
2621585	3831369	96	50	13	1	1	0	0.0	0.26	1	0	49	10	1
4479896	6426	1132	52	357	1	1	0	0.0	6.865384615	8	0	52	352	7
1081432	3398526	14	5	66	1	1	0	0.0	13.2	6	0	5	62	3
2958741	2505887	133	3	129	1	1	0	0.0	43.0	0	0	3	20	0
4519448	3189201	221	72	27	1	1	0	0.0	0.375	1	0	67	21	2
943581	597924	203	26	1173	1	1	0	0.0	45.11538462	16	0	26	1155	15
3832997	4155548	13	90	1	1	1	0	0.0	0.011111111000000002	0	0	8	1	0
3448868	4243237	833	248	2	1	1	0	0.0	0.008064515999999999	1	0	246	2	0
2692067	334620	1704	98	9	1	1	0	0.0	0.091836735	0	0	97	9	0
4740315	2968089	164	43	121	1	1	0	0.0	2.813953488	3	0	39	108	8
2670064	1650213	745	30	206	1	1	0	0.0	6.8666666670000005	9	0	30	203	9
4062175	225570	8522	248	223	1	1	0	0.0	0.899193548	69	0	248	223	73
1086912	1975993	33398	907	14	1	1	0	0.0	0.015435502	3	0	906	14	3
198776	3779328	169	32	46	1	1	26	0.153846154	1.4375	5	10	28	74	10
3779328	575446	730	46	36	1	1	0	0.0	0.7826086959999999	8	0	45	36	7
992233	746117	453	57	45	1	1	108	0.238410596	0.7894736840000001	8	8	57	101	9
746117	632005	760	45	230	1	1	0	0.0	5.1111111110000005	26	0	45	227	23
4330238	902000	46	122	249	1	1	23	0.5	2.040983607	18	33	120	367	52
902000	4154909	695	249	68	1	1	37	0.05323741	0.273092369	21	36	249	316	29
4154909	1839863	162	68	39	1	1	22	0.135802469	0.5735294120000001	16	9	68	101	11
1839863	1392121	71	39	904	1	1	40	0.563380282	23.17948718	30	30	39	927	33
4339647	2388735	196	26	403	1	1	31	0.158163265	15.5	11	7	25	423	8
2388735	3603508	4921	403	11	1	1	0	0.0	0.027295285	5	0	402	11	5
504000	4823828	407	75	124	1	1	21	0.051597052000000004	1.6533333330000002	22	10	74	190	18
4823828	3050988	208	124	17	1	1	0	0.0	0.137096774	1	0	110	13	5
3488943	1225658	644	2	1	1	1	0	0.0	0.5	0	0	2	1	0
4106501	310733	1969	224	10	1	1	0	0.0	0.044642857	2	0	224	10	3
2943892	3735127	163	64	187	1	1	2	0.012269938999999999	2.921875	2	0	50	102	1
3735127	2894811	14	187	16	1	1	0	0.0	0.08556149699999999	0	0	27	3	14
1047243	3640506	5	2	26	1	1	0	0.0	13.0	0	0	2	1	0
1559310	2418895	44	13	43	1	1	0	0.0	3.307692308	15	0	13	39	11
