Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio
4156257	4504242	113	63	274	1	39	0.34513274336283184	4.349206349206349
2960143	1466981	192	8	5	1	0	0.0	0.625
1719606	527267	278	101	327	1	20	0.07194244604316546	3.237623762376238
531474	439041	89	57	79	1	23	0.25842696629213485	1.3859649122807018
786311	1663869	18	32	117	1	5	0.2777777777777778	3.65625
1158858	2136428	146	34	5	1	0	0.0	0.14705882352941177
2670101	4037770	209	37	3	1	0	0.0	0.08108108108108109
1222505	3020366	186	17	1	1	0	0.0	0.058823529411764705
401947	4571446	7890	367	26	1	0	0.0	0.07084468664850137
842427	1337853	44	6	1795	1	4	0.09090909090909091	299.1666666666667
2572751	4720781	444	42	1	1	0	0.0	0.023809523809523808
3252058	2915647	1860	26	8	1	0	0.0	0.3076923076923077
3183791	1258352	347	45	4	1	0	0.0	0.08888888888888889
3338096	888639	12	34	22	1	0	0.0	0.6470588235294118
3414168	4482172	296	655	15	1	36	0.12162162162162163	0.022900763358778626
456154	542927	581	48	36	1	0	0.0	0.75
402837	4413986	180	94	1	1	0	0.0	0.010638297872340425
4234145	2383130	80	7	1	1	0	0.0	0.14285714285714285
4420088	2846643	94	152	10	1	0	0.0	0.06578947368421052
749690	950671	60	3	1	1	0	0.0	0.3333333333333333
740261	4733189	103	56	2	1	0	0.0	0.03571428571428571
2352713	3872071	54	16	4	1	0	0.0	0.25
666816	3323691	83	14	5	1	0	0.0	0.35714285714285715
619847	3983431	60	16	26	1	0	0.0	1.625
2297633	3741397	161	14	275	1	0	0.0	19.642857142857142
155547	3122640	350	34	57	1	0	0.0	1.6764705882352942
4384375	4072107	4747	129	447	1	0	0.0	3.4651162790697674
1621775	1632970	45	10	68	1	15	0.3333333333333333	6.8
1963890	2448524	177	18	7	1	0	0.0	0.3888888888888889
2153178	2956553	29	28	610	1	15	0.5172413793103449	21.785714285714285
1372449	84657	321	75	123	1	21	0.06542056074766354	1.64
2636315	976040	254	46	3	1	0	0.0	0.06521739130434782
