Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings
4156257	4504242	113	63	274	1.0	1	39	0.34513274336283184	4.349206349206349	28	31
2960143	1466981	192	8	5	1.0	1	0	0.0	0.625	1	0
1719606	527267	278	101	327	1.0	1	20	0.07194244604316546	3.237623762376238	16	8
531474	439041	89	57	79	1.0	1	23	0.25842696629213485	1.3859649122807018	18	24
786311	1663869	18	32	117	1.0	1	5	0.2777777777777778	3.65625	2	11
1158858	2136428	146	34	5	1.0	1	0	0.0	0.14705882352941177	2	0
2670101	4037770	209	37	3	1.0	1	0	0.0	0.08108108108108109	1	0
1222505	3020366	186	17	1	1.0	1	0	0.0	0.058823529411764705	0	0
401947	4571446	7890	367	26	1.0	1	0	0.0	0.07084468664850137	13	0
842427	1337853	44	6	1795	1.0	1	4	0.09090909090909091	299.1666666666667	3	0
2572751	4720781	444	42	1	1.0	1	0	0.0	0.023809523809523808	0	0
3252058	2915647	1860	26	8	1.0	1	0	0.0	0.3076923076923077	4	0
3183791	1258352	347	45	4	1.0	1	0	0.0	0.08888888888888889	0	0
3338096	888639	12	34	22	1.0	1	0	0.0	0.6470588235294118	1	0
3414168	4482172	296	655	15	1.0	1	36	0.12162162162162163	0.022900763358778626	1	54
456154	542927	581	48	36	1.0	1	0	0.0	0.75	2	0
402837	4413986	180	94	1	1.0	1	0	0.0	0.010638297872340425	0	0
4234145	2383130	80	7	1	1.0	1	0	0.0	0.14285714285714285	0	0
4420088	2846643	94	152	10	1.0	1	0	0.0	0.06578947368421052	0	0
749690	950671	60	3	1	1.0	1	0	0.0	0.3333333333333333	0	0
740261	4733189	103	56	2	1.0	1	0	0.0	0.03571428571428571	0	0
2352713	3872071	54	16	4	1.0	1	0	0.0	0.25	0	0
666816	3323691	83	14	5	1.0	1	0	0.0	0.35714285714285715	0	0
619847	3983431	60	16	26	1.0	1	0	0.0	1.625	3	0
2297633	3741397	161	14	275	1.0	1	0	0.0	19.642857142857142	4	0
155547	3122640	350	34	57	1.0	1	0	0.0	1.6764705882352942	3	0
4384375	4072107	4747	129	447	1.0	1	0	0.0	3.4651162790697674	79	0
1621775	1632970	45	10	68	1.0	1	15	0.3333333333333333	6.8	4	9
1963890	2448524	177	18	7	1.0	1	0	0.0	0.3888888888888889	0	0
2153178	2956553	29	28	610	1.0	1	15	0.5172413793103449	21.785714285714285	16	8
1372449	84657	321	75	123	1.0	1	21	0.06542056074766354	1.64	12	9
2636315	976040	254	46	3	1.0	1	0	0.0	0.06521739130434782	2	0
3410072	3600103	321	17	8	1.0	1	0	0.0	0.47058823529411764	1	0
2376083	1804095	2	1	1	1.0	1	0	0.0	1.0	0	0
820476	3214893	822	113	1087	1.0	1	70	0.0851581508515815	9.619469026548673	56	20
713325	64448	34	31	309	1.0	1	1	0.029411764705882353	9.96774193548387	4	1
163870	2711416	60	6	1	1.0	1	0	0.0	0.16666666666666666	0	0
4524940	1143717	57	9	19	1.0	1	0	0.0	2.111111111111111	0	0
3703380	3835546	159	36	36	1.0	1	4	0.025157232704402517	1.0	16	2
3341107	3413786	34	4	6	1.0	1	0	0.0	1.5	1	0
4193047	4341925	1266	89	156	1.0	1	0	0.0	1.752808988764045	17	0
4735323	644886	114	52	287	1.0	1	0	0.0	5.519230769230769	4	0
775016	4693295	326	95	60	1.0	1	26	0.07975460122699386	0.631578947368421	10	8
3740149	573872	60	62	60	1.0	1	15	0.25	0.967741935483871	2	7
2206657	1870446	73	69	38	1.0	1	0	0.0	0.5507246376811594	7	0
4129372	2567324	395	61	74	1.0	1	0	0.0	1.2131147540983607	5	0
2200544	2027108	241	32	1172	1.0	1	70	0.29045643153526973	36.625	31	16
4799011	3771670	6	38	480	1.0	1	0	0.0	12.631578947368421	1	2
2373691	4803152	119	6	1	1.0	1	0	0.0	0.16666666666666666	0	0
667330	2817001	98	36	6	1.0	1	0	0.0	0.16666666666666666	0	0
3525229	1250764	381	189	7	1.0	1	0	0.0	0.037037037037037035	2	0
2237068	1702245	2206	211	469	1.0	1	0	0.0	2.2227488151658767	51	0
268451	4497774	292	61	2	1.0	1	1	0.003424657534246575	0.03278688524590164	1	1
849824	4852291	66	15	121	1.0	1	1	0.015151515151515152	8.066666666666666	2	0
732718	2572933	308	28	452	1.0	1	11	0.03571428571428571	16.142857142857142	5	1
4791406	2044318	206	84	134	1.0	1	0	0.0	1.5952380952380953	28	0
1343126	1620165	153	40	65	1.0	1	0	0.0	1.625	1	0
4313884	130898	864	68	49	1.0	1	0	0.0	0.7205882352941176	1	0
616984	2919442	37	3	1	1.0	1	0	0.0	0.3333333333333333	0	0
3469158	1436562	52	6	694	1.0	1	2	0.038461538461538464	115.66666666666667	2	0
4215761	984524	77	12	28	1.0	1	0	0.0	2.3333333333333335	0	0
2587544	604390	1055	111	44	1.0	1	0	0.0	0.3963963963963964	16	0
4853519	2853969	522	160	1051	1.0	1	42	0.08045977011494253	6.56875	11	23
663087	3325882	3410	551	345	1.0	1	0	0.0	0.6261343012704175	48	0
3941959	2092359	14	2	421	1.0	1	1	0.07142857142857142	210.5	0	0
3300806	4681321	517	46	22	1.0	1	0	0.0	0.4782608695652174	2	0
3381720	4084861	70	60	128	1.0	1	37	0.5285714285714286	2.1333333333333333	28	41
1747484	2431075	332	148	39	1.0	1	0	0.0	0.2635135135135135	9	0
2202417	540049	161	163	113	1.0	1	17	0.10559006211180125	0.6932515337423313	10	19
3522421	4050850	145	41	51	1.0	1	0	0.0	1.2439024390243902	0	0
3142503	2398894	135	7	2	1.0	1	0	0.0	0.2857142857142857	0	0
2922412	4309860	3629	464	24	1.0	1	0	0.0	0.05172413793103448	11	0
4705162	2428611	2	6	57	1.0	1	0	0.0	9.5	0	0
1887772	1739611	17	21	44	1.0	1	4	0.23529411764705882	2.0952380952380953	1	4
2733969	2915097	372	143	14	1.0	1	0	0.0	0.0979020979020979	0	0
4172298	581588	338	92	18	1.0	1	0	0.0	0.1956521739130435	0	0
2911269	2631532	20607	740	73	1.0	1	0	0.0	0.09864864864864865	42	0
805251	2197877	417	34	11	1.0	1	0	0.0	0.3235294117647059	10	0
3188415	3377733	1078	189	16	1.0	1	0	0.0	0.08465608465608465	5	0
1919500	1904406	159	19	18	1.0	1	0	0.0	0.9473684210526315	5	0
1747240	377146	89	10	7	1.0	1	0	0.0	0.7	0	0
1459296	2365339	129	13	2	1.0	1	0	0.0	0.15384615384615385	0	0
2085287	1055319	1199	61	347	1.0	1	0	0.0	5.688524590163935	4	0
1275582	2199988	435	31	5	1.0	1	0	0.0	0.16129032258064516	0	0
2021878	1012160	8	5	59	1.0	1	7	0.875	11.8	6	3
2539336	2828539	158	59	96	1.0	1	0	0.0	1.6271186440677967	2	0
2763877	2075015	436	77	2664	1.0	1	54	0.12385321100917432	34.5974025974026	13	16
1289166	1907049	90	4	1	1.0	1	0	0.0	0.25	0	0
632811	1354317	202	37	18	1.0	1	0	0.0	0.4864864864864865	3	0
4105945	2932519	47	12	530	1.0	1	3	0.06382978723404255	44.166666666666664	1	0
1821864	201301	264	39	106	1.0	1	0	0.0	2.717948717948718	0	0
4011312	2535295	26	7	21	1.0	1	5	0.19230769230769232	3.0	2	2
569240	4646905	54	64	3	1.0	1	0	0.0	0.046875	1	0
820476	3832364	822	113	1353	1.0	1	0	0.0	11.973451327433628	50	0
2360093	2538651	84	19	1	1.0	1	0	0.0	0.05263157894736842	0	0
1105493	2862019	4	137	903	1.0	1	0	0.0	6.591240875912408	2	12
4249273	2873388	3063	225	70	1.0	1	0	0.0	0.3111111111111111	22	0
3258271	2320172	240	81	2	1.0	1	0	0.0	0.024691358024691357	0	0
547939	3509903	95	12	1530	1.0	1	17	0.17894736842105263	127.5	4	5
91412	3588975	193	91	14	1.0	1	0	0.0	0.15384615384615385	3	0
2400794	885508	38	5	1	1.0	1	0	0.0	0.2	0	0
4107348	3918618	59	41	299	1.0	1	28	0.4745762711864407	7.2926829268292686	12	22
25871	1233542	1848	214	380	1.0	1	0	0.0	1.7757009345794392	62	0
4510122	4209215	410	76	215	1.0	1	12	0.02926829268292683	2.8289473684210527	6	1
2999674	4203573	47	4	1	1.0	1	0	0.0	0.25	0	0
1518991	2554450	139	13	91	1.0	1	0	0.0	7.0	0	0
4716655	2749118	103	52	54	1.0	1	20	0.1941747572815534	1.0384615384615385	10	14
4618437	4717522	743	372	913	1.0	1	46	0.06191117092866756	2.454301075268817	50	17
218698	2672578	99	43	736	1.0	1	14	0.1414141414141414	17.11627906976744	22	8
4581275	2852681	28	8	107	1.0	1	0	0.0	13.375	1	0
2439135	1115008	138	25	1	1.0	1	0	0.0	0.04	0	0
2615366	2340628	203	5	249	1.0	1	32	0.15763546798029557	49.8	20	0
1016317	2114344	572	83	3	1.0	1	0	0.0	0.03614457831325301	2	0
2249236	3957233	206	13	1	1.0	1	0	0.0	0.07692307692307693	0	0
660674	1942087	111	458	149	1.0	1	1	0.009009009009009009	0.32532751091703055	1	0
198776	4652564	169	32	1	1.0	1	0	0.0	0.03125	1	0
3839749	1362214	366	266	148	1.0	1	0	0.0	0.556390977443609	3	0
2059930	1169783	12	5	246	1.0	1	4	0.3333333333333333	49.2	1	0
1836086	1600900	100	21	282	1.0	1	9	0.09	13.428571428571429	9	3
1617409	4805288	81	8	53	1.0	1	0	0.0	6.625	3	0
2613814	1336450	1818	242	14	1.0	1	0	0.0	0.05785123966942149	3	0
3243039	893927	544	29	109	1.0	1	12	0.022058823529411766	3.7586206896551726	2	0
4628214	1497278	115	46	1869	1.0	1	22	0.19130434782608696	40.630434782608695	18	18
1213877	97028	44	9	619	1.0	1	21	0.4772727272727273	68.77777777777777	7	7
2615574	915448	133	1	2	1.0	1	0	0.0	2.0	0	0
