Source_Followings	Source_Followers	Sink_Followers	Common_Followings	Distance	Real
24	4	199	11	1.0	1
1698	152	14	0	1.0	1
14	4	1	0	4.0	-1
415	113	46	0	1.0	1
142	137	5	0	1.0	1
167	33	5	0	1.0	1
32	8	104	0	1.0	1
3	3035	31	0	1.0	1
33	184	1	0	4.0	-1
225	67	87	0	1.0	1
28986	217	1	0	1.0	1
0	2	3	0	2000.0	-1
92	62	4	0	2.0	-1
173	16	4	0	1.0	1
317	446	2	0	3.0	-1
262	67	2	0	1.0	1
21	5	1	0	4.0	-1
109	7	96	0	1.0	1
179	60	360	4	1.0	1
65	49	1	0	4.0	-1
38	135	58	0	1.0	1
35	189	2	0	3.0	-1
86	7	1	0	1.0	1
6014	554	4	0	2.0	-1
184	17	1	0	4.0	-1
657	111	1	0	4.0	-1
3	2	755	0	1.0	1
54	1	11	0	3.0	-1
45	2	1	0	4.0	-1
51	35	44	0	1.0	1
137761	3424	55	0	1.0	1
291	8	1	0	3.0	-1
46	12	1	0	3.0	-1
428	67	44	0	1.0	1
314	164	108	0	1.0	1
163	23	2	0	3.0	-1
353	29	79	0	1.0	1
27	3	1	0	4.0	-1
54	33	1	0	3.0	-1
82	24	1	0	3.0	-1
0	1	27	0	2000.0	-1
21	10	2	0	3.0	-1
111	44	56	56	1.0	1
155	71	1	0	3.0	-1
2678	113	11	0	1.0	1
71	2	1	0	4.0	-1
256	90	1	0	3.0	-1
68	24	2	0	4.0	-1
4	2	1	0	4.0	-1
578	53	77	0	1.0	1
931	256	1	0	3.0	-1
155	238	382	0	1.0	1
1	2	3	0	5.0	-1
267	30	4	0	1.0	1
126	38	3	0	2.0	-1
153	43	10	0	1.0	1
151	3	1	0	5.0	-1
186	12	2	0	3.0	-1
174	110	1	0	3.0	-1
118	39	1	0	3.0	-1
54	6	133	0	1.0	1
107	12	423	0	1.0	1
1434	102	61	0	1.0	1
1496	77	126	0	1.0	1
449	53	2	0	2.0	-1
790	71	6	0	1.0	1
244	21	2	0	2.0	-1
4356	218	68	0	1.0	1
4365	169	73	0	1.0	1
172	74	3	0	4.0	-1
69	4	1	0	3.0	-1
24	19	610	10	1.0	1
181	11	1	0	3.0	-1
23	247	145	6	1.0	1
53	12	1	0	3.0	-1
120	21	23	0	1.0	1
2608	972	1	0	3.0	-1
91	6	8	0	1.0	1
285	55	29	0	1.0	1
79	17	19	0	1.0	1
103	6	2	0	1.0	1
31	3	3	0	4.0	-1
201	9	1	0	3.0	-1
50	10	1	0	3.0	-1
63	37	50	0	1.0	1
2	15	1	0	1.0	1
64	7	3	0	3.0	-1
728	167	41	0	1.0	1
5377	67	2	0	2.0	-1
30	14	301	11	1.0	1
107	6	168	5	1.0	1
80	7	1	0	1.0	1
34	36	1	0	4.0	-1
239	5	3	0	3.0	-1
98	95	1	0	3.0	-1
212	82	205	45	1.0	1
15	6	1795	1	1.0	1
46	2	21	0	3.0	-1
10	7	18	3	1.0	1
82	25	12	0	1.0	1
101	9	5	0	1.0	1
70	30	199	24	1.0	1
120	94	1	0	3.0	-1
170	204	6	0	3.0	-1
64	12	3	0	1.0	1
51	29	20	20	1.0	1
138	25	1	0	1.0	1
43	16	1	0	4.0	-1
453	57	53	110	1.0	1
393	106	80	114	1.0	1
177	35	2	0	3.0	-1
15	10	21	0	1.0	1
43	2	8	0	2000.0	-1
255	29	51	0	1.0	1
206	84	134	0	1.0	1
11	3	4	0	4.0	-1
2235	36	5	0	1.0	1
35	194	47	0	1.0	1
5418	931	866	934	1.0	1
107	12	1	0	4.0	-1
22	7	932	7	1.0	1
86	6	296	13	1.0	1
43	14	18	0	1.0	1
11	28	1	0	3.0	-1
157	90	2	0	3.0	-1
37	96	5	0	1.0	1
3676	63	1	0	1.0	1
29	11	1	0	1.0	1
192	84	1193	59	1.0	1
10	3	8	3	1.0	1
0	1	1	0	2000.0	-1
94	9	2	0	3.0	-1
4518	190	1	0	3.0	-1
97	8	2	0	4.0	-1
25240	1291	22	0	1.0	1
248	186	1	0	3.0	-1
231	81	2	0	3.0	-1
355	292	47	0	1.0	1
78	45	1349	3	1.0	1
65	18	3	0	3.0	-1
1864	219	15	0	1.0	1
137	21	587	2	1.0	1
142	10	1	0	1.0	1
162	79	1	0	3.0	-1
33	2	1	0	3.0	-1
1367	130	11	0	3.0	-1
41	85	616	13	1.0	1
34	11	20	0	3.0	-1
727	114	200	15	1.0	1
82	33	1	0	1.0	1
260	63	1	0	3.0	-1
2	2	1	0	4.0	-1
584	20	88	0	1.0	1
49	99	31	16	1.0	1
297	106	2	0	1.0	1
1992	401	43	0	1.0	1
1542	224	1	0	3.0	-1
326	80	116	0	1.0	1
402	125	90	30	1.0	1
140	231	299	32	1.0	1
2012	85	9	0	1.0	1
65	49	1294	0	1.0	1
1928	125	3	0	3.0	-1
256	25	2	0	3.0	-1
47	17	1	0	3.0	-1
64	63	177	0	1.0	1
644	116	3	0	1.0	1
40	4	1	0	3.0	-1
69	12	50	0	1.0	1
23531	246	1	0	1.0	1
66	4	5	0	1.0	1
559	67	2	0	3.0	-1
91	250	1	0	3.0	-1
35	2	1	0	4.0	-1
95	3	359	0	1.0	1
130	40	1882	22	1.0	1
4330	164	90	0	1.0	1
92	24	1	0	3.0	-1
143	131	1	0	3.0	-1
64	12	3	0	4.0	-1
1	1	1	0	4.0	-1
101	42	2	0	3.0	-1
2	2	2	0	4.0	-1
136	28	129	23	1.0	1
0	11	1	0	2000.0	-1
69	12	2	0	4.0	-1
4665	111	121	0	1.0	1
1301	342	1	0	3.0	-1
11	22	1	0	1.0	1
501	85	1	0	3.0	-1
41	14	1	0	4.0	-1
52	4	1	0	4.0	-1
96	8	8	0	3.0	-1
30	6	2	0	1.0	1
198	39	8	0	3.0	-1
3462	247	6	0	1.0	1
123	23	4	0	3.0	-1
224	17	10	0	1.0	1
177	47	67	0	1.0	1
208	77	2	0	3.0	-1
895	243	42	0	1.0	1
65	115	3	0	1.0	1
170	20	35	10	1.0	1
138	80	1	0	1.0	1
136	15	2	0	3.0	-1
1839	49	13	0	3.0	-1
254	26	8	0	3.0	-1
421	79	1	0	1.0	1
665	70	1	0	3.0	-1
698	162	213	0	1.0	1
13123	251	152	0	1.0	1
63	9	39	0	1.0	1
283	69	28	0	1.0	1
399	41	1075	9	1.0	1
117	37	1	0	1.0	1
283	39	1	0	2.0	-1
5	3	3	0	1.0	1
181	38	4	0	3.0	-1
142	29	1	0	1.0	1
441	76	1	0	3.0	-1
228	44	1	0	3.0	-1
107	18	3	0	3.0	-1
41	3	6	0	1.0	1
6	3	1	0	1.0	1
3233	92	1	0	3.0	-1
2	4	1	0	4.0	-1
285	55	1	0	3.0	-1
109	52	2	0	1.0	1
395	469	1	0	3.0	-1
70	60	4	4	1.0	1
622	124	664	0	1.0	1
238	215	23	0	1.0	1
4489	133	20	0	1.0	1
55	209	1	0	3.0	-1
71	39	11	0	3.0	-1
71	5	4	0	3.0	-1
3483	108	1	0	3.0	-1
1570	131	47	0	1.0	1
508	53	1	0	3.0	-1
16146	503	104	0	1.0	1
287	22	268	0	1.0	1
999	300	70	0	1.0	1
39	42	1	0	3.0	-1
1649	518	30	0	1.0	1
59	23	1	0	4.0	-1
96	4	1	0	3.0	-1
160	47	1	0	4.0	-1
1025	163	1	0	3.0	-1
1307	230	1	0	2.0	-1
2418	240	100	0	1.0	1
1146	586	2	0	3.0	-1
15	2	1	0	3.0	-1
191	48	174	34	1.0	1
427	47	14	0	1.0	1
238	57	1	0	3.0	-1
1946	68	22	0	1.0	1
99	15	4	0	3.0	-1
493	43	1	0	3.0	-1
141	64	736	67	1.0	1
193	34	1	0	3.0	-1
53	4	2	0	3.0	-1
1317	117	1	0	3.0	-1
105	79	1	0	4.0	-1
966	212	76	0	1.0	1
590	43	862	0	1.0	1
72	8	1	0	1.0	1
32	2	1	0	3.0	-1
93	91	7	0	1.0	1
283	16	1	0	3.0	-1
1132	76	1	0	3.0	-1
170	36	55	23	1.0	1
62	2	4	0	2.0	-1
2	1	1	0	2000.0	-1
146	29	1	0	3.0	-1
159	22	80	2	1.0	1
6520	315	1	0	3.0	-1
249	69	561	7	1.0	1
91	6	1	0	4.0	-1
97	312	3	0	1.0	1
191	40	1	0	4.0	-1
112	40	3	0	3.0	-1
221	43	2	0	3.0	-1
323	64	34	0	1.0	1
61	2	9	1	1.0	1
527	30	5	0	1.0	1
39	7	23	0	1.0	1
132	11	1	0	3.0	-1
474	46	6	0	3.0	-1
71	11	5	0	4.0	-1
822	104	39	0	1.0	1
13	5	102	1	1.0	1
46	20	8	0	1.0	1
67	37	3	0	3.0	-1
3173	91	103	19	1.0	1
546	237	2	0	1.0	1
60771	1532	64	0	2.0	-1
53	45	12	0	3.0	-1
136	32	1	0	1.0	1
6	2	106	1	1.0	1
445	374	826	0	1.0	1
43	108	1	0	4.0	-1
103	8	23	0	1.0	1
64	22	2022	4	1.0	1
10	1	2	0	1.0	1
213	166	2	0	3.0	-1
4	60	2	0	4.0	-1
734	103	1	0	3.0	-1
112	40	1	0	3.0	-1
142	64	227	9	1.0	1
240	19	5	0	1.0	1
102	5	42	0	3.0	-1
3865	199	2	0	2.0	-1
400	57	2	0	3.0	-1
243	2	1	0	3.0	-1
98	19	22	0	1.0	1
138	18	3	0	1.0	1
1	79	10	0	1.0	1
384	17	1	0	4.0	-1
122	11	1	0	4.0	-1
509	19	9	0	1.0	1
112	33	40	0	1.0	1
359	27	873	36	1.0	1
425	18	185	8	1.0	1
1124	171	1	0	3.0	-1
68	19	1	0	4.0	-1
3909	115	1	0	1.0	1
443	26	31	0	1.0	1
128	47	2	0	3.0	-1
113	10	77	11	1.0	1
792	42	55	30	1.0	1
6402	778	89	0	1.0	1
1999	139	1	0	3.0	-1
326	73	60	0	1.0	1
1913	201	2	0	3.0	-1
4	2	272	1	1.0	1
568	39	4	0	1.0	1
49	63	13	0	1.0	1
18	3	1	0	3.0	-1
89	23	1	0	3.0	-1
516	78	7	0	1.0	1
46	122	17	0	3.0	-1
409	25	81	0	1.0	1
68	34	58	21	1.0	1
32	25	250	25	1.0	1
78	7	17	0	1.0	1
674	65	409	21	1.0	1
136	57	3	0	1.0	1
22	5	1	0	3.0	-1
530	52	95	0	2.0	-1
181	38	1	0	1.0	1
218	34	182	7	1.0	1
95	19	1	0	4.0	-1
63	14	2	0	3.0	-1
240	44	48	0	1.0	1
961	69	1	0	2.0	-1
336	317	172	0	1.0	1
44	5	1	0	4.0	-1
139	66	2	0	4.0	-1
228	28	38	0	1.0	1
234	7	30	0	1.0	1
222	107	2	0	3.0	-1
12	34	22	0	1.0	1
547	351	12	0	1.0	1
28	74	1	0	4.0	-1
64	37	10	0	1.0	1
352	44	930	0	1.0	1
95	172	2	0	2.0	-1
153	27	69	5	1.0	1
235	74	758	12	1.0	1
46	19	62	11	1.0	1
145	41	51	0	1.0	1
42	4	1	0	3.0	-1
1083	45	7	0	3.0	-1
989	97	521	0	2.0	-1
89	6	2	0	3.0	-1
1579	30	1	0	3.0	-1
39	21	4	0	4.0	-1
271	15	20	0	3.0	-1
23683	402	4	0	3.0	-1
153	80	1820	101	1.0	1
893	57	1	0	1.0	1
48	45	12	0	1.0	1
82	6	274	10	1.0	1
383	15	1	0	3.0	-1
69	36	52	43	1.0	1
1457	169	259	72	1.0	1
69	26	1	0	1.0	1
55	1	78	0	1.0	1
48	9	32	0	1.0	1
96	5	1	0	3.0	-1
212	412	6	0	1.0	1
18491	782	1	0	3.0	-1
62	30	175	0	1.0	1
955	29	1	0	2.0	-1
2699	151	7	0	1.0	1
216	147	4637	30	1.0	1
1983	45	30	0	1.0	1
6	5	220	4	1.0	1
15	85	1	0	4.0	-1
77	11	1	0	3.0	-1
25	4	1	0	1.0	1
90	6	2	0	3.0	-1
399	312	1	0	2.0	-1
134	6	1	0	1.0	1
818	48	1	0	1.0	1
86	6	204	0	1.0	1
298	49	179	10	1.0	1
254	96	1	0	4.0	-1
642	27	1	0	1.0	1
1218	96	1	0	2.0	-1
257	78	1	0	3.0	-1
174	8	9	0	1.0	1
68	12	2	0	1.0	1
429	114	55	0	3.0	-1
126	35	3	0	2.0	-1
36	1	1	0	3.0	-1
26	37	2	0	3.0	-1
47	12	530	3	1.0	1
1990	141	128	0	1.0	1
213	97	1	0	4.0	-1
1333	193	18	0	1.0	1
1778	336	1	0	3.0	-1
93	7	1	0	3.0	-1
47	3	1	0	4.0	-1
4218	105	55	0	1.0	1
630	126	2	0	3.0	-1
21	2	1	0	4.0	-1
175	160	1	0	4.0	-1
25	1	10	0	3.0	-1
1111	180	4	0	2.0	-1
1848	200	15	0	1.0	1
32319	746	3	0	1.0	1
40	17	1	0	3.0	-1
1251	139	48	181	1.0	1
12	12	2	0	3.0	-1
342	31	129	6	1.0	1
68	11	130	0	1.0	1
3	121	1	0	5.0	-1
18	8	2	0	4.0	-1
233	103	234	17	1.0	1
115	43	365	11	1.0	1
19	55	1117	7	1.0	1
2119	154	300	130	1.0	1
32	20	339	11	1.0	1
233	15	13	0	1.0	1
799	151	3	0	1.0	1
528	44	312	0	1.0	1
2509	384	408	547	1.0	1
85	3	1	0	4.0	-1
4	1	221	3	1.0	1
415	23	1	0	4.0	-1
103	46	1	0	4.0	-1
169	56	26	0	1.0	1
1023	157	1	0	3.0	-1
319	165	24	0	1.0	1
3	2	45	0	1.0	1
0	2	1	0	2000.0	-1
15	38	2	0	3.0	-1
187	13	1	0	4.0	-1
784	256	13	0	3.0	-1
152	41	2	0	3.0	-1
217	26	786	0	1.0	1
33	17	2	0	3.0	-1
504	82	1	0	3.0	-1
581	48	36	0	1.0	1
20	1	1	0	3.0	-1
156	33	3	0	4.0	-1
3660	205	368	0	1.0	1
27	5	2	0	4.0	-1
23	1	2	0	3.0	-1
745	44	139	0	1.0	1
48	11	5	0	3.0	-1
78	55	48	0	1.0	1
1047	68	21	0	1.0	1
43	92	317	10	1.0	1
15	1	1	0	4.0	-1
7971	669	4	0	1.0	1
152	39	8	0	1.0	1
105	12	1	0	1.0	1
5	2	1	0	4.0	-1
62	11	131	0	3.0	-1
713	57	1	0	4.0	-1
267	166	13	0	3.0	-1
719	50	4	0	3.0	-1
514	84	101	83	1.0	1
2149	48	22	0	1.0	1
2219	71	2	0	3.0	-1
62	7	6	0	1.0	1
1779	69	2	0	3.0	-1
270	9	2	0	3.0	-1
25	155	21	0	3.0	-1
123	32	39	8	1.0	1
191	41	1	0	4.0	-1
229	22	584	10	1.0	1
376	118	1	0	3.0	-1
415	55	2	0	3.0	-1
2268	41	1	0	3.0	-1
103	4	1	0	4.0	-1
322	3	2	0	3.0	-1
2055	104	2	0	1.0	1
139	30	1	0	3.0	-1
225	36	1	0	1.0	1
18	24	298	0	1.0	1
290	13	1	0	3.0	-1
25	11	13	0	1.0	1
30	6	2	0	2.0	-1
43	7	6	0	1.0	1
691	90	1	0	3.0	-1
183	12	2	0	2.0	-1
22	2	36	0	1.0	1
308	54	1	0	1.0	1
8285	254	2	0	2.0	-1
265	52	70	24	1.0	1
313	81	21	0	1.0	1
129	36	19	0	1.0	1
5587	1172	1	0	2.0	-1
158	27	7	0	1.0	1
91	45	23	0	1.0	1
5	11	1	0	2000.0	-1
3	513	14	0	1.0	1
348	32	26	0	1.0	1
167	173	2	0	4.0	-1
0	1	1	0	2000.0	-1
197	36	2	0	1.0	1
167	57	1	0	4.0	-1
99	70	1	0	1.0	1
461	9	10	0	3.0	-1
1656	172	1	0	3.0	-1
1	2	3	0	4.0	-1
241	2532	372	0	1.0	1
49	16	1	0	3.0	-1
97	48	4	0	4.0	-1
170	21	4	0	1.0	1
310	13	99	0	1.0	1
1447	229	129	0	1.0	1
11	8	1	0	4.0	-1
394	100	1	0	3.0	-1
292	67	16	0	1.0	1
188	21	215	24	1.0	1
47	14	1	0	4.0	-1
50	10	1	0	3.0	-1
135	160	1	0	3.0	-1
342	42	222	3	1.0	1
64	22	1	0	3.0	-1
7	1	2	0	2000.0	-1
836	120	405	0	1.0	1
73	13	637	10	1.0	1
2777	94	105	0	1.0	1
378	37	1	0	3.0	-1
28	4	3	0	1.0	1
43	91	2	0	4.0	-1
233	39	1	0	3.0	-1
57	88	1	0	3.0	-1
67	3	16	0	4.0	-1
1	1	116	0	1.0	1
235	74	5	0	1.0	1
48	3	1	0	4.0	-1
