Source	Sink	Source_Followings	Source_Followers	Sink_Followers
3849054	1039480	13257	417	23
2321093	819855	296	53	1
3003950	881488	2902	127	42
3317623	4126416	471	36	1
3914135	4108124	60086	2150	1
653164	1824590	1486	106	1
11193	1520518	204	14	2
4408608	1125879	8	8	1
2207856	2449573	99	4	1
2038265	2946264	220	79	11
1612332	2230849	51	23	1
401282	3344983	909	21	3
4741830	1092005	148	84	9
856734	2648616	145	19	1
4828134	2564696	113	220	1
3147075	604822	107	7	1
4408757	3802469	42	17	1
110278	4499903	71	36	1
3478545	2773404	570	72	2
2443629	400984	182	31	2
762948	3291325	385	178	1
220699	3083337	283	88	1
4513654	1329915	127	32	1
125780	1574404	293	16	1
617168	3934003	1168	340	61
378666	2043810	582	84	1
80926	4718126	969	134	1
3877282	4295143	1095	154	1
3795219	2151937	20	81	31
344052	938767	512	87	1
3250469	2992009	604	84	1
4821538	1061172	48	3	2
1589189	4057443	120	15	1
3455905	120454	111	43	2
1261595	4660982	558	37	2
359557	544088	148	17	5
2089	2017053	220	77	1
853222	3250669	227	24	1
4066767	1681993	17	33	1
2854737	4194903	635	747	1
1168405	3562907	250	18	1
828101	2797249	544	32	1
2593317	4078040	220	34	1
2122623	93863	326	64	33
2801037	4192058	4	2	46
675623	1827522	758	49	1
358719	1539130	30	18	1
1835137	1167656	32	11	53
4845434	217255	105	84	1
2677315	251034	52	3	4
3530377	2212562	211	4	1
2612638	1477565	345	120	1
255132	634638	1346	101	1
10760	280668	306	40	1
1624098	4420065	84	17	1
3698287	86136	240	22	2
4466614	824093	0	1	1
2385155	900747	441	100	1
944808	499655	274	60	1
4112891	60536	3570	424	1
4356823	3765505	725	49	1
2436380	3549462	4	4	1
4165959	1614124	186	40	1
4641966	3382441	312	25	2
1612461	4745390	501	27	1
2121433	4072886	659	18	1
4545429	4289855	768	61	3
3382489	85086	0	2	2
3433795	3159272	84	22	1
4224338	4748050	68	5	6
384979	891832	42	16	1
489891	3621479	45	33	1
4577936	2944956	0	5	1
1218605	2283166	43	5	1
1819285	4089978	1594	277	1
3226910	895810	31	6	1
591909	71718	302	71	1
4149125	3512513	3	2	1
4006475	3055280	48	5	4
3473583	2879041	383	303	1
2271812	4585031	1471	28	2
3575819	2008741	82	26	5
4048993	1376221	160	34	1
4680040	714328	239	37	1
3585551	596556	264	20	1
141651	3821696	6	2	1
4407691	4214259	7	233	1
3281555	2416176	1790	73	2
2778813	4728828	4663	111	1
2478293	2577343	85	12	1
385139	3051800	1014	233	2
41224	3764470	1784	106	2
593040	4076237	119	7	1
1485287	1363389	513	52	1
719927	1377280	192	63	1
2680121	498098	59	33	1
2615574	2268600	131	1	1
2272826	3534629	60	46	1
2245265	1657006	107	12	4
1004913	1299828	87	49	4
3229912	2944855	78	125	18
1633053	4735482	8636	532	3
2548036	1057711	165	168	1
13680	225176	142	80	5
4147530	1447584	659	75	1
3812277	325161	161	11	3
1847640	2903815	148	26	2
1707829	4580751	242	10	1
375387	2002312	291	29	2
1903691	661111	1591	112	1
807217	63925	0	17	1
1442264	1759585	316	60	1
412067	1896093	690	86	4
1347547	1082847	0	1	4
255306	663522	105	21	2
2557868	556706	128	9	1
1379442	500463	22	1	14
1919631	735205	2748	185	1
4697307	143702	247	93	17
3991826	1115540	132	7	3
1081924	2175524	201	68	2
1202671	3200420	103	33	1
2075355	2664713	7	6	1
3856897	4514437	120	23	1
4266820	491790	178	11	2
3119726	4071015	11571	299	1
2151439	4392769	7	3	1
1011512	4777247	19	14	1
4293318	3536613	230	48	1
2302079	3047783	189	82	2
539559	4364145	378	83	4
2444382	3614176	25	2	1
513426	3234770	711	57	1
3179391	470766	165	3	10
350651	312958	177	48	3
1271555	2792868	30	67	1
4355033	3415204	0	1	1
1320722	3596549	31	14	2
2282501	4305066	361	26	1
166029	2504439	636	74	1
1912105	1287478	419	77	3
35349	2436785	274	37	6
3234597	1705595	758	34	2
2381592	2350821	358	47	1
1621606	4642657	4226	559	3
3758692	271954	34731	711	1
1058350	3420990	162	27	7
688930	2347041	0	18	1
4749429	4425921	67	12	2
4030322	1920304	52	3	1
3939453	4190215	1444	307	2
3518167	3764528	83	14	95
3658954	670368	1118	124	2
2857094	4201390	629	30	1
1588845	3800607	369	47	1
2948092	288621	18488	410	1
3836080	159034	59459	1194	7
785950	2326183	473	42	3
3235358	4650351	53	6	7
1475851	1442676	124	495	1
2275571	4060139	34	10	1
4705443	746571	18	215	7
1750846	1429432	180	32	1
2125671	582979	1026	201	1
2934549	2402870	2834	253	3
1203129	1455865	154	59	1
2022081	1667750	1464	143	1
2170503	3729871	194	15	10
1194896	1202099	25	14	1
3115414	803416	248	63	1
2404437	149531	116	25	62
1123367	3895650	3719	387	4
2212117	2190914	6250	43	1
1821558	182111	347	63	1
2607298	2769149	116	108	2
3849982	4529620	492	84	1
1619793	912960	65	7	4
3999640	4478025	27	5	1
3793936	2073761	2340	258	2
1423550	2592444	0	4	10
4713986	3254002	6	6	6
2888087	4084062	79	25	1
128346	3623947	62	21	1
250102	513139	4348	189	11
1913196	2566951	11	2	2
1582404	1059900	545	254	1
3339475	2178667	285	79	4
3093938	4660332	223	62	1
1042460	4268134	86	8	2
374572	1334025	83	5	1
3921152	1575557	17	8	3
4283132	3827817	3	11	1
3654082	3905475	13	15	11
2538150	4322292	105	62	20
1974261	4650210	136	14	1
1943094	3395498	105	86	1
4291779	3885686	7	1	1
4808430	3272904	0	11	1
3154825	777232	692	44	1
2054302	4627274	344	50	2
1859221	4602597	1083	97	1
414356	462656	121	276	2
1397278	3687489	2293	185	1
3458417	2708802	414	33	3
2982515	665535	175	47	1
419558	567088	318	22	2
970691	3736408	660	64	1
3645350	1818312	159	39	1
185744	2896562	64	13	1
742859	4200482	127	50	27
1659274	2862968	1308	132	1
4153603	1107671	218	42	2
3548001	1252396	9	30	1
906389	3811006	43	8	3
1900542	2331570	264	61	1
1565714	3060089	698	71	1
1323993	4592708	174	16	1
193658	2834310	9	3	1
830605	2506145	55	18	4
3561542	4717274	325	22	2
305389	3509735	90	28	1
3185083	3850682	21	45	2
4379972	3716081	373	5	2
825327	1575432	100	5	1
1777590	1106580	119	12	82
103850	1544094	92	6	1
2263130	1166443	14042	712	3
1192168	2938268	7	1	39
941726	1046593	400	45	1
4194670	661443	93	104	2
4408276	4207986	23	5	1
772875	3873774	43	4	1
1005927	3540223	116	84	1
3521704	4088316	83	16	1
2172854	1229404	1998	239	4
4747241	11738	1447	92	8
345467	4218085	20	11	3
4827810	2889014	526	36	1
2083920	8640	676	65	1
2542828	2051200	172	35	1
4208653	3626236	21102	1776	1
4829822	4751419	148	34	2
635715	1864892	387	149	3
1572166	2353647	37	34	1
3104285	1233609	513	33	1
2223172	3394966	621	206	1
3228848	459410	34	8	8
4716722	3425314	150	134	1
2137402	935169	567	94	17
3408524	4737498	130	16	12
