Source	Sink	Source_Followings	Source_Followers	Sink_Followers
1933514	39865	12	10	1
2681811	2314964	6285	284	1
2518926	1369032	305	9	43
1153598	623443	125	5	2
2707453	91949	184	18	1
4124848	1198240	1280	183	4
1398781	34147	365	1	1
3573737	4807957	208	4	1
2320372	3150674	13	7	1
4359281	2547725	57	11	1
3136835	3905817	524	77	4
3515090	1388577	951	18	1
3403968	4183650	82	80	7
3872274	3793583	449	21	4
3492414	1987519	260	67	1
1243314	3589140	89	3	1
408043	23561	2899	77	1
728327	2432448	12	18	1
3799692	2709863	12	4	3
1936484	432325	20	165	1
575745	1354680	99	25	1
1442782	2800280	3	15	5
4098003	1589562	90	21	1
1367618	1992947	2	2	1
2849622	3903226	2673	117	8
3065587	1283782	302	19	1
2682783	195948	160	22	1
2507470	3204755	1	2	3
53266	4262421	35	55	2
3177515	447471	84	18	3
3896595	42675	2165	165	3
1950551	1175189	77	8	2
184346	3239164	537	119	1
486069	221643	39	8	1
33342	3476200	35	189	2
3396499	2280295	372	125	1
2050190	3204322	9156	153	1
764877	560119	746	83	13
2554007	2884977	36	31	26
3672836	3406039	31	9	2
406590	4126263	13	4	1
1810293	4749647	76	5	1
4050480	2727985	4312	422	1
4361468	2864212	11	5	2
2690100	2291403	72	11	1
1127093	3546319	6014	554	4
4248238	4043871	42	4	1
4061933	340185	1562	182	1
4110535	1587635	7311	395	1
801222	2002587	145	146	1
68176	934853	15	2	1
1476682	1680873	432	37	1
883836	4317206	1380	421	1
1766470	4260696	311	7	1
2798985	4151954	330	30	2
400253	4340371	33	8	1
1953883	3217607	125	6	7
2354155	612300	69	7	1
1979523	1875881	2	87	1
1001201	466555	80	7	2
4008397	312866	229	23	15
4054569	207408	5	4	1
1460879	2387396	6	4	2
2250533	4617779	118	12	1
4203775	4618582	404	84	4
3451435	1695452	89	49	2
1071094	3770252	203	31	1
1844632	39789	125	31	1
3198896	3439923	1397	157	1
4307730	2628738	108	25	3
3375975	1666286	160	19	2
1065567	2436275	116	39	2
168823	4238327	152	533	1
1899691	385661	116	46	2
4858812	3151882	81	36	1
3779605	2427609	142	18	2
3839688	1362670	1361	234	1
4202634	2627585	737	12	1
1302093	530568	1219	48	1
1629116	4802147	157	68	6
3066685	3882279	1	4	3
2667863	4245257	15	38	2
2604284	4760021	510	90	3
2321696	1248602	138	23	16
61483	3096799	167	46	1
346443	2375450	241	24	2
4273486	465892	0	2	2
1885306	4126646	90	25	1
1026384	4582055	185	14	1
4575649	547754	2915	470	1
863215	2473046	1158	199	1
2913481	4250359	1012	58	1
3454968	2139710	101	23	1
841503	470485	142	29	125
132679	3737053	15	1	1
4773965	2410897	357	22	1
3577145	438230	520	43	1
3127986	130518	32	19	1
2885874	2676950	968	66	7
3734728	3499239	789	85	1
1853369	3164194	76	7	2
3380947	1042209	367	526	1
2484593	1863535	50	29	2
1136002	4783980	110	62	3
990434	3980155	60	13	1
400423	463493	32	2	1
372245	1827172	37	10	2
2145105	1396955	359	104	3
1863337	3877787	168	43	1
1013848	2012684	470	71	1
321701	2774917	541	100	1
3831027	4405408	251	116	39
3656894	1117865	46	9	1
3969240	1793568	53	1	1
1806282	2052478	0	2	3
3436133	1350073	4	2	53
4782074	2591445	238	920	1
174469	1698711	75	3	2
3940873	160289	1162	50	1
2711750	2754737	178	13	1
1037213	3574979	34	36	1
4651415	2433373	21	4	1
3184760	970649	339	92	1
2297625	1009163	6498	512	15
511482	4660455	468	49	4
2632027	2592639	84	48	2
1023699	2354130	616	70	3
238046	2084628	590	52	4
132587	232162	129	9	1
4507417	3821955	97	35	1
1253167	2287230	157	9	1
2889711	4446025	226	25	1
1145201	1034402	207	55	1
1414589	1811718	213	20	15
3625953	2382781	14	5	1
3503357	3671988	211	3	1
3982632	3125897	4	2	2
277804	1672150	170	202	2
4234577	777241	131	58	11
3650157	548048	1038	32	1
1696130	1069667	83	17	1
2969730	2545642	2509	270	4
1630365	2501780	143	22	1
2073472	3045380	586	90	1
2915097	3306091	89	14	1
1006975	212824	113	14	1
4416945	1643052	33229	417	19
4021033	4436872	152	41	2
3830193	1985948	30	6	2
3768366	4267169	12403	334	1
4730895	2623997	1911	125	1
3198896	1525341	1397	157	1
1074359	613283	271	15	1
3208639	270670	311	40	1
376755	1067697	78	8	1
4201339	1305650	671	42	1
1823121	2505536	46	39	1
2831654	3084164	493	43	1
4380766	3938281	1165	114	2
1308667	3869676	253	40	1
2330241	1399667	116	41	1
1373960	1584963	182	34	2
40000	1375196	1225	93	1
123958	827897	47	14	2
4709814	2009737	1111	180	4
2610150	2248863	82	7	16
4371057	2851558	59	25	1
2856036	4633337	0	15	1
3176871	265240	24	24	11
3973849	179159	159	10	2
1180599	4459651	519	179	1
2240779	4808717	178	42	1
3937193	2085033	2524	270	5
4182770	4422155	68	140	1
1810508	1658099	845	109	2
4125891	1139320	1	3	1
577850	2101799	126	21	1
2245265	2667659	109	13	2
3805651	476491	15	27	1
3420449	4755077	22	263	1
2969895	2479591	734	103	1
2042635	1868129	283	101	1
2246808	4290254	57	17	13
569828	3310712	92	1	1
4465082	1309518	144	52	4
2303294	1846456	1515	185	1
2571572	3722466	10	12	5
4383389	3880475	64	49	1
4108836	2987394	4235	97	2
4022635	4745030	92	30	1
3767985	3048099	609	39	11
432490	4390277	156	28	3
1218579	4795220	1019	434	1
2943564	3227288	123	29	1
2156404	352461	136	33	1
1646004	1561659	487	621	12
2741500	3509297	153	11	1
258220	1912531	242	94	1
4208297	1454979	136	34	1
4278437	382810	6	4	3
1788378	2542230	4	17	1
