Source	Sink	Source_Followings	Source_Followers	Sink_Followers
250102	3986607	4350	189	197
995616	820259	12	8	88
3847046	667777	958	164	54
3956897	1234537	37	34	26
290670	2821318	3851	252	46
4580585	572390	97	26	91
3457745	906915	1864	219	15
3921152	3314815	19	8	272
2778813	2964109	4665	111	121
3753643	2356340	2001	247	19
1634906	2141342	356	37	3
1919853	1626413	326	27	4
1243539	4467395	741	104	2084
3236599	4717971	197	36	2
889330	2637820	1591	148	59
2203594	2347136	536	39	10
3868302	1826025	314	164	57
2682050	4595621	198	4	1
1375875	3972031	1950	440	1
1108996	3419294	92	77	1
4629176	463606	9211	2058	35
3525386	4820190	297	13	28
1517818	2318057	70	15	42
1407397	1903637	397	161	26
4361971	2013943	27	6	135
2101710	3159135	6934	152	129
3845171	3121804	25	4	2
3846758	2791796	791	192	369
2015479	2601795	740	232	172
922544	3130983	133	18	7
2067691	1895382	52	4	227
4394124	4073343	88	29	88
3991124	3851323	212	82	1
3454216	3325194	449	89	141
3009387	1663869	12	8	117
574509	1285310	234	68	68
1372535	3836080	3150	177	1197
1036965	1196749	46	6	2
4629176	2712848	9211	2058	73
3338112	4089144	409	25	81
993164	2611026	42	1	245
2388338	4331995	169	8	1
3843967	4357366	105	8	6
2812015	4022109	411	110	89
1899977	197153	199	20	4
159742	4208653	404	134	1820
3501677	4839801	127	33	2
3519021	2815975	97	22	5
2526379	2410720	56	3	101
2373866	3428484	255	142	48
89251	3108287	319	16	13
4565849	353465	93	57	3
3403719	1803844	450	27	35
2536472	1778776	9726	344	50
941958	2106877	102	14	1
3708550	484849	1251	139	48
3629607	828408	20	1	5
2686984	4030220	436	30	20
3124898	2799538	71	16	71
271575	626368	61	9	672
4704482	2307351	19	4	191
3032800	3446519	83	18	1
4705162	3767420	2	6	152
4558816	771447	674	65	409
1292875	461959	7	1	3
1447488	1852069	89	21	135
1520840	116029	2950	155	3
3114565	712100	636	12	13
3662626	2087168	464	52	1
3452436	4623161	530	70	306
2947429	628048	892	19	288
3036244	4572365	45	2	1
435064	1774989	1031	75	179
4506715	3013973	152	54	47
655339	4528666	1136	93	187
4858238	4647955	20	1	136
1936484	1514935	20	165	3
4311068	2959800	514	65	336
3013612	3287121	137	304	13
2614400	3406827	11	31	7
2939937	2093894	31	12	191
2564052	1580988	1292	102	2821
3445913	2071827	522	13	9
2662183	4767612	146	5	17
2282501	2016286	363	26	126
4133593	3546897	1900	161	330
2832140	2714476	55	75	1
3002746	149804	3847	286	84
2696500	1025227	4128	267	111
2181723	2941880	70	7	599
1165497	1949134	1	2	6
3885432	4786617	129	64	1
2970015	3629556	72	17	832
1461076	166499	41	10	7
4583244	3289791	237	26	16
4662054	1629525	103	8	4
895854	360163	102	209	37
3870944	4709201	158	21	22
753076	3134736	305	100	1413
301420	3036718	677	51	72
487046	2077788	774	70	1
4256757	43635	172	18	24
4448454	364665	517	66	903
284505	4684218	30	14	46
1368976	713325	57	4	31
1386511	4362017	485	40	1
4181545	2065809	26	9	49
2271380	3939662	129	51	134
4462369	4818002	76	18	153
3647925	3954325	99	8	1743
3038385	958397	636	73	1351
3984303	1709582	4489	133	5
2209094	4142951	256	18	1
2370635	4693230	123	48	118
2713411	3610466	4638	384	3
4842955	3859210	95	69	2
2553142	3521384	24	6	568
4719196	3610736	371	106	3
1088937	4131275	65	35	527
1351352	2222966	3	1	44
1175832	2765321	110	90	1
2009366	3241251	184	49	2002
2286612	1118721	74	26	5
4698411	1036154	388	85	46
4646668	3452094	160	18	2
1653268	3888945	5919	183	66
1565864	666253	620	102	39
670299	2971288	378	33	16
4487276	528433	44	2	1
4504183	2883495	47	14	1
1396884	1368539	2277	361	274
1657654	2141492	181	43	22
3770686	3063573	345	40	93
2911665	1681700	18	8	6
1988347	2912346	3660	205	368
1810410	1341460	39	39	27
4449749	288549	300	39	27
3692657	1464048	2350	33	2
4777191	3820797	3938	86	5
386424	49476	7871	131	30
1945661	2082718	707	191	7
1200246	2897926	697	74	565
4539265	3539691	82	37	1
199956	4811476	29	6	49
958099	2002208	2391	63	2
3169674	3501277	715	73	31
4487611	2066077	69	350	2
3885380	300239	179	49	254
4241043	1567024	327	117	3
2913726	1371892	182	41	5
241701	3014245	67	1	119
1706005	462205	446	31	788
2018928	3490516	576	45	54
4488849	3099997	4704	136	105
3866367	1604785	37	12	139
1363893	1199298	6	4	894
2075583	2899112	242	17	4
2040761	1904309	578	19	149
4104749	4272449	851	57	101
619144	2817394	834	252	46
2895114	3790299	191	54	4
4663781	4245904	383	100	2
3550361	188775	1293	205	148
102876	4686654	386	58	284
3830515	80358	271	58	84
2456814	4762204	61	16	2239
2305014	2556290	606	10	6
3003067	808752	6	17	7
3873762	2074879	81	175	268
2594924	1221215	121	65	116
3631686	542356	319	165	24
4721599	1753073	75	20	1
788657	1055277	72	77	148
4519069	1516168	20799	387	213
2670064	832569	745	30	1
2067894	1900822	264	65	3
2722942	100552	8655	240	132
3242439	760270	161	49	195
970864	1859355	159	7	7
3646619	1694903	7	1	9
834954	3339297	24	163	8
3897310	4693358	495	23	25
4049854	2248719	113	33	5
2175924	4063924	56	23	1
837572	3513203	1973	70	13
3614134	2862019	38	79	903
1181654	2803047	113	5	6
129786	3936176	30	2	207
188027	3660614	112	33	40
649105	3568834	1548	152	48
523700	4020189	358	37	6
3889529	1905303	277	51	13
2381188	2768414	82	860	216
14638	3373931	4	17	256
155547	263767	350	34	25
781211	778466	51850	976	42
4255956	748414	182	5	23
3134537	4494198	114	20	217
1139266	3672836	61	2	9
4533936	4528986	156	48	33
203661	1273866	138	18	3
1053192	2236532	701	143	69
2770705	2023814	26	1	247
2196316	2027108	87	58	1172
2851109	4314975	98554	450	1
1951044	1580584	194	7	1
2856517	3402731	136	1	3654
569828	3922384	92	1	29
3301156	746015	1455	26	8
807374	3160736	241	48	15
275674	116271	10	7	18
2525993	2972010	88	26	101
1169783	568276	314	246	58
3530678	1007280	36	3	7
3438576	3307570	137761	3424	55
601256	1611899	147	5	18
3461425	4177929	125	1	2
4264630	2762372	47	9	818
1921268	612782	651	174	5
421093	1141526	205	64	5
1065411	933505	480	19	13
2824361	3279091	14	4	200
99710	2277070	47	29	751
892317	2547060	45	6	2
2173818	4503824	382	57	116
1096177	302379	18	14	10
3570938	2687125	14	6	128
496062	3978531	374	22	15
3956897	1380522	37	34	190
3386853	4705254	53	25	2
1857477	1398883	1352	57	8
3677080	4408671	174	8	9
1581411	2969057	39	19	7
1956344	3377529	26	16	6
1704301	2896906	192	84	1193
258799	4346310	39	3	9
1996648	3706159	98	97	155
2838024	939638	160	22	67
1185681	4114865	3	1	1
4628259	3060714	291	8	1783
4209215	2509082	238	215	23
929305	520439	361	9	9
2321229	4533912	989	44	6
220699	2436380	285	89	4
2704156	3705070	368	56	740
1441324	2464282	385	84	104
688738	860610	25	5	2
3426715	2443404	947	129	1
811770	3402731	41	3	3654
2881345	497356	2	1	43
4099006	2928722	184	17	11
3660943	808859	555	12	5
4394985	3862068	175	22	12
3616561	1000313	644	116	3
1465257	2728319	84	9	4
3723496	3182711	24	543	61
4681788	3624714	105	79	826
1289767	3978787	69	12	1204
3631058	4258303	261	6	3
1388900	4710887	151	23	95
873429	3960389	74	23	16
1132845	3455169	78	17	1
1625085	4256453	630	1	31
2675455	4676682	109	3	5
1289767	3978787	69	12	1204
4372315	668012	397	29	2
4399473	2010105	87	13	7
1054833	1372448	47	18	1
2014153	534622	422	87	9
1393329	2586149	445	374	826
2649949	3632164	866	79	12
3679910	1978179	374	39	50
3948751	3085889	380	53	2
905589	2712999	215	16	602
3745069	4321895	73	54	515
3191004	75731	1343	62	3
3539414	4797483	129	36	19
144557	805044	120	94	7
1999464	1572550	89	17	38
3564185	3992941	175	33	1
2612025	2360910	48	12	154
3147075	1603044	109	7	96
1483385	1436972	164	17	2
3010439	98420	32	20	339
1159144	2654333	53	20	1381
2199673	300094	2496	118	11
3378229	2840767	76	5	8
2060888	4065568	136	11	1
3375508	2883965	445	26	1
2417958	81008	1099	35	65
135188	1554	5860	51	3
3451152	1969506	287	30	2
1071721	4089390	18	12	145
4268239	1222746	124	1117	285
2849622	688049	2673	117	30
3938536	1573019	15	1	1
2683954	1297154	134	6	1
2337375	3467722	1815	143	60
4401406	1446824	2141	381	569
4370257	86763	31	96	45
1839776	880495	14	3	414
4738916	3652256	34124	1165	83
3057075	914136	111	44	56
3548100	1870017	153	24	1
4014645	1313910	3	2	1
3297919	2023814	17	6	247
3322117	3517744	575	103	184
1013848	1877793	470	71	369
1185597	3907996	1501	64	485
347640	3251874	1106	330	8
4108836	2303002	4235	97	54
2765056	1855961	574	1555	2
4841167	2338008	25	9	24
3981914	1082454	360	93	5
1879297	409457	11	1	5
962972	1931912	231	96	163
941870	133821	19	33	1294
3809045	1746983	119	21	5
637416	1124680	42	8	21
1918756	3730283	54	13	1
847623	4536530	141	64	51
3921019	1708603	132	10	1
866252	3833721	669	89	19
1162253	4307002	46	15	5
1676913	109184	89	22	298
3552521	4463567	106	59	5
648313	3134736	666	75	1413
4100048	4250696	89	9	3
145497	2755303	73	24	46
1457814	4274510	17	8	29
719600	1906240	369	7	2
4174407	2018881	76	16	1284
2945040	313337	95	1	479
2245586	1881447	26	6	28
1824229	1685621	654	56	348
4715050	3514678	1394	154	10
458930	2269319	155	23	371
3528789	793528	91	6	8
502360	284364	2164	162	30
1417054	3463824	509	31	4
308504	4330577	408	61	3
2396535	2045340	26	48	50
113679	1970528	55	2	134
2873662	1593067	87	5	118
2762875	2485210	18	1	1
1416545	2490914	183	26	570
4450642	512052	452	57	1
2784786	3059178	295	27	665
1542723	4586016	181	66	285
2575584	133821	65	49	1294
3023130	2180775	6402	778	30
187866	2788948	263	37	337
1426700	588058	140	18	49
2483074	3288	63	80	20
1347380	2798422	69	75	10
2687161	4617274	211	44	206
4858607	3967184	54	4	1
2572993	4550556	19	55	335
3828577	1563516	504	120	16
574549	4163106	26	6	99
3463741	1487202	3948	82	3
146390	704933	2046	80	29
2801302	524477	319	555	21
1164630	500188	686	39	92
2503686	3106095	2	1	4
4109624	1298272	437	118	184
2665746	1787452	297	17	11
600163	2436101	37	1	3
4841158	2124098	1607	194	11
2930610	1435594	219	18	2
1119006	796130	154	14	22
757810	854522	39	1	12
271405	4279172	742	142	34
3441731	4209977	818	57	15
2214261	1764893	194	254	37
2614338	3095984	1078	132	9
4856467	420215	845	75	2
3602310	3069895	199	28	19
3328066	4501433	223	17	7
3167153	3035378	358	56	2
2368306	3946538	1441	124	127
1326428	2136695	2569	153	80
269982	1476497	9020	351	76
4448346	579196	380	111	262
4147162	530500	95	8	2
4473143	1068402	472	126	145
272195	1438612	384	29	29
1994117	3943611	318	436	1
3492414	98531	260	67	27
172558	2281401	94	20	121
142948	2410078	42	6	1
3650069	4154087	4118	217	63
2114532	2340192	130	6	693
4523833	2196226	167	33	5
1013126	2730668	32	15	563
4480843	424654	271	58	26
1832467	2971498	4	10	12
2214183	119021	109	14	1
1901222	261290	103	8	74
72816	4261054	393	106	80
3910508	203902	936	16	6
2924025	2000752	21	1	1592
2722648	3454055	322	3	2914
4120770	3613833	150	58	42
3234025	1239422	3830	127	4
4000463	1659493	1853	182	23
367147	1302472	409	319	164
3220336	3161203	175	34	110
1682380	236246	7	10	306
24581	4041994	1133	93	151
2223172	2154650	623	211	25
1734620	1170280	130	38	14
1762773	4386040	449	46	225
3411803	4046035	1023	157	89
591909	264692	304	71	3
3109326	2799941	25	126	662
2443201	3483950	669	75	82
